# open, close, high, low
79.12,79.89,85.89,79.89
79.84,76.94,79.84,76.94
77.00,79.20,79.94,79.20
79.98,77.16,80.48,77.16
79.93,78.79,80.20,78.79
78.33,75.92,78.53,75.92
76.45,77.00,78.77,77.00
78.79,76.29,79.46,76.29
81.90,81.25,82.88,81.25
82.79,84.49,85.00,84.49
84.79,82.48,84.79,82.48
84.80,84.59,85.08,84.59
85.02,98.25,98.35,98.25
98.86,96.86,98.86,96.86
96.63,95.06,96.63,95.06
101.38,104.64,105.39,104.64
105.50,107.71,109.76,107.71
107.06,105.79,109.87,105.79
106.29,106.00,107.55,106.00
109.00,101.85,109.00,101.85
103.47,103.94,104.99,103.94
105.30,101.93,105.30,101.93
103.21,97.57,104.10,97.57
100.62,92.99,100.62,92.99
92.54,93.39,95.30,93.39
95.74,90.48,96.06,90.48
91.40,93.28,93.64,93.28
92.89,88.67,93.73,88.67
98.67,102.07,104.57,102.07
101.46,100.39,102.38,100.39
101.71,102.36,104.18,102.36
103.83,103.31,104.99,103.31
103.25,103.39,104.29,103.39
106.25,105.61,106.50,105.61
108.20,108.04,109.13,108.04
108.19,107.83,110.45,107.83
109.47,108.99,109.47,108.99
111.87,113.11,113.60,113.11
115.16,115.50,115.99,115.50
117.24,116.04,118.69,116.04
117.51,120.34,120.50,120.34
121.49,123.22,126.40,123.22
125.56,139.44,148.29,139.44
142.20,134.87,142.24,134.87
140.40,143.01,144.68,143.01
145.36,140.90,145.36,140.90
144.16,151.83,152.25,151.83
153.70,151.89,156.41,151.89
153.23,157.56,160.39,157.56
159.39,153.33,159.39,153.33
158.99,151.70,159.84,151.70
155.08,167.50,169.50,167.50
170.60,171.74,177.00,171.74
174.20,176.70,179.93,176.70
180.29,178.14,180.87,178.14
177.00,172.71,177.00,172.71
175.13,179.20,180.00,179.20
183.13,178.45,184.70,178.45
180.05,177.32,180.12,177.32
178.01,176.15,178.01,176.15
181.90,183.21,191.22,183.21
188.25,186.41,189.86,186.41
187.88,185.13,187.88,185.13
191.45,174.61,191.45,174.61
177.58,177.62,178.96,177.62
180.68,173.55,180.68,173.55
185.04,205.22,205.23,205.22
205.69,187.31,206.20,187.31
190.47,176.67,190.47,176.67
195.15,179.76,195.15,179.76
181.95,190.55,190.70,190.55
194.40,200.28,201.50,200.28
198.43,181.20,199.21,181.20
183.51,167.52,183.51,167.52
172.72,172.04,178.16,172.04
174.79,179.11,183.63,179.11
179.32,177.16,179.32,177.16
180.04,188.89,190.60,188.89
196.60,194.36,199.77,194.36
200.00,195.00,200.00,195.00
209.75,205.07,211.70,205.07
207.60,208.00,211.12,208.00
208.60,202.01,208.60,202.01
198.10,185.53,198.10,185.53
194.69,190.04,195.13,190.04
191.37,187.25,193.23,187.25
187.81,189.42,198.35,189.42
190.59,180.84,190.59,180.84
180.86,180.01,183.00,180.01
180.65,172.78,180.65,172.78
178.86,174.23,186.50,174.23
160.72,164.74,168.00,164.74
161.65,164.63,169.84,164.63
163.40,164.76,167.39,164.76
165.95,154.63,165.95,154.63
152.64,147.29,152.64,147.29
145.69,142.93,150.68,142.93
150.20,142.87,150.20,142.87
144.00,147.59,154.36,147.59
149.37,144.85,152.80,144.85
146.41,154.10,157.40,154.10
156.53,160.86,160.86,160.86
152.81,149.00,156.24,149.00
147.94,132.00,147.94,132.00
144.08,151.32,153.38,151.32
159.69,167.97,169.73,167.97
167.55,167.36,173.09,167.36
183.72,183.88,186.90,183.88
187.34,175.03,188.08,175.03
181.72,180.97,182.53,180.97
182.89,176.26,183.36,176.26
178.90,182.45,182.60,182.45
185.56,185.35,185.56,185.35
187.82,188.91,189.79,188.91
